07:18:20.466565 IP 209.73.140.70.1801 > 178.32.215.69.6667: Flags [.], ack 2434048873, win 65535, length 0
07:18:20.466575 IP 178.32.215.69.6667 > 209.73.140.70.1801: Flags [R], seq 2434048873, win 0, length 0
07:18:20.466592 IP 178.63.54.14.1619 > 178.32.215.69.34: Flags [.], ack 264004932, win 65535, length 0
07:18:20.466598 IP 81.91.225.134.1642 > 178.32.215.69.6667: Flags [.], ack 169358418, win 65535, length 0
07:18:20.466603 IP 178.32.215.69.6667 > 81.91.225.134.1642: Flags [R], seq 169358418, win 0, length 0
07:18:20.466618 IP 195.62.128.4.1880 > 178.32.215.69.6667: Flags [.], ack 1436199745, win 65535, length 0
07:18:20.466625 IP 178.32.215.69.6667 > 195.62.128.4.1880: Flags [R], seq 1436199745, win 0, length 0
07:18:20.466639 IP 195.62.128.4.1880 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.466646 IP 178.32.215.69.6667 > 195.62.128.4.1880: Flags [R], seq 1436199745, win 0, length 0
07:18:20.466661 IP 219.240.39.80.1418 > 178.32.215.69.29745: Flags [.], ack 387858804, win 65535, length 0
07:18:20.466666 IP 95.211.117.112.1659 > 178.32.215.69.6667: Flags [.], ack 2697056376, win 65535, length 0
07:18:20.466671 IP 178.32.215.69.6667 > 95.211.117.112.1659: Flags [R], seq 2697056376, win 0, length 0
07:18:20.466685 IP 180.95.224.203.1582 > 178.32.215.69.80: Flags [.], ack 3118815505, win 65535, length 0
07:18:20.466690 IP 220.181.130.183.1413 > 178.32.215.69.25089: Flags [.], ack 3773248598, win 65535, length 0
07:18:20.466692 IP 200.52.205.60.1853 > 178.32.215.69.32067: Flags [.], ack 1005817954, win 65535, length 0
07:18:20.466694 IP 203.34.37.119.1180 > 178.32.215.69.6667: Flags [.], ack 1714376731, win 65535, length 0
07:18:20.466699 IP 178.32.215.69.6667 > 203.34.37.119.1180: Flags [R], seq 1714376731, win 0, length 0
07:18:20.466714 IP 212.49.70.252.1596 > 178.32.215.69.6667: Flags [.], ack 738216780, win 65535, length 0
07:18:20.466722 IP 178.32.215.69.6667 > 212.49.70.252.1596: Flags [R], seq 738216780, win 0, length 0
07:18:20.466736 IP 218.202.90.112.1549 > 178.32.215.69.6667: Flags [.], ack 2247065175, win 65535, length 0
07:18:20.466743 IP 178.32.215.69.6667 > 218.202.90.112.1549: Flags [R], seq 2247065175, win 0, length 0
07:18:20.466757 IP 87.229.24.109.1478 > 178.32.215.69.6667: Flags [.], ack 969638223, win 65535, length 0
07:18:20.466768 IP 178.32.215.69.6667 > 87.229.24.109.1478: Flags [R], seq 969638223, win 0, length 0
07:18:20.466784 IP 211.143.131.7.1714 > 178.32.215.69.6667: Flags [.], ack 340300297, win 65535, length 0
07:18:20.466791 IP 178.32.215.69.6667 > 211.143.131.7.1714: Flags [R], seq 340300297, win 0, length 0
07:18:20.466807 IP 95.173.162.97.1584 > 178.32.215.69.6667: Flags [.], ack 503908388, win 65535, length 0
07:18:20.466817 IP 178.32.215.69.6667 > 95.173.162.97.1584: Flags [R], seq 503908388, win 0, length 0
07:18:20.466842 IP 82.138.233.9.1813 > 178.32.215.69.56277: Flags [.], ack 3871367940, win 65535, length 0
07:18:20.466848 IP 95.173.162.97.1584 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.466853 IP 178.32.215.69.6667 > 95.173.162.97.1584: Flags [R], seq 503908388, win 0, length 0
07:18:20.466879 IP 180.95.224.203.1582 > 178.32.215.69.76: Flags [.], ack 3118815505, win 65535, length 0
07:18:20.466884 IP 64.233.128.98.1265 > 178.32.215.69.19421: Flags [.], ack 3361262596, win 65535, length 0
07:18:20.466887 IP 95.173.162.97.1584 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.466892 IP 178.32.215.69.6667 > 95.173.162.97.1584: Flags [R], seq 503908388, win 0, length 0
07:18:20.466907 IP 95.173.162.97.1584 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.466914 IP 178.32.215.69.6667 > 95.173.162.97.1584: Flags [R], seq 503908388, win 0, length 0
07:18:20.466927 IP 209.73.140.129.1969 > 178.32.215.69.6667: Flags [.], ack 1098598731, win 65535, length 0
07:18:20.466934 IP 178.32.215.69.6667 > 209.73.140.129.1969: Flags [R], seq 1098598731, win 0, length 0
07:18:20.466948 IP 69.60.116.165.1680 > 178.32.215.69.6667: Flags [.], ack 1825719620, win 65535, length 0
07:18:20.466956 IP 178.32.215.69.6667 > 69.60.116.165.1680: Flags [R], seq 1825719620, win 0, length 0
07:18:20.466970 IP 58.215.21.171.1261 > 178.32.215.69.6667: Flags [.], ack 986834706, win 65535, length 0
07:18:20.466977 IP 178.32.215.69.6667 > 58.215.21.171.1261: Flags [R], seq 986834706, win 0, length 0
07:18:20.466991 IP 59.63.158.116.1477 > 178.32.215.69.6667: Flags [.], ack 1977131375, win 65535, length 0
07:18:20.466999 IP 178.32.215.69.6667 > 59.63.158.116.1477: Flags [R], seq 1977131375, win 0, length 0
07:18:20.467013 IP 202.49.244.124.1531 > 178.32.215.69.6667: Flags [.], ack 2560179043, win 65535, length 0
07:18:20.467023 IP 178.32.215.69.6667 > 202.49.244.124.1531: Flags [R], seq 2560179043, win 0, length 0
07:18:20.467040 IP 212.235.84.28.1363 > 178.32.215.69.6667: Flags [.], ack 3662936674, win 65535, length 0
07:18:20.467048 IP 178.32.215.69.6667 > 212.235.84.28.1363: Flags [R], seq 3662936674, win 0, length 0
07:18:20.467062 IP 211.144.73.154.1540 > 178.32.215.69.8017: Flags [.], ack 3008316221, win 65535, length 0
07:18:20.467067 IP 177.54.11.246.1242 > 178.32.215.69.51651: Flags [.], ack 330000191, win 65535, length 0
07:18:20.467070 IP 64.233.128.98.1265 > 178.32.215.69.19423: Flags [.], ack 3361262596, win 65535, length 0
07:18:20.467072 IP 91.186.249.24.1335 > 178.32.215.69.6667: Flags [.], ack 3843379829, win 65535, length 0
07:18:20.467077 IP 178.32.215.69.6667 > 91.186.249.24.1335: Flags [R], seq 3843379829, win 0, length 0
07:18:20.467098 IP 61.158.203.14.1583 > 178.32.215.69.6667: Flags [.], ack 1498594371, win 65535, length 0
07:18:20.467106 IP 178.32.215.69.6667 > 61.158.203.14.1583: Flags [R], seq 1498594371, win 0, length 0
07:18:20.467137 IP 64.233.128.98.1265 > 178.32.215.69.19449: Flags [.], ack 3361262596, win 65535, length 0
07:18:20.467142 IP 203.246.164.173.1103 > 178.32.215.69.32255: Flags [.], ack 3986427980, win 65535, length 0
07:18:20.467145 IP 77.247.177.33.1430 > 178.32.215.69.19021: Flags [.], ack 1194472311, win 65535, length 0
07:18:20.467147 IP 85.142.19.182.1315 > 178.32.215.69.6667: Flags [.], ack 2665194862, win 65535, length 0
07:18:20.467152 IP 178.32.215.69.6667 > 85.142.19.182.1315: Flags [R], seq 2665194862, win 0, length 0
